PRESS,16777252,1568973622.4835722
RELEASE,16777252,1568973622.6221044
PRESS,67,1568973622.725478
PRESS,16777252,1568973622.8132055
RELEASE,67,1568973622.8559911
RELEASE,16777252,1568973623.0150502
PRESS,65,1568973623.373174
RELEASE,65,1568973623.508042
PRESS,83,1568973623.7872405
RELEASE,83,1568973623.8690064
PRESS,69,1568973623.9542832
RELEASE,69,1568973624.0890956
PRESS,32,1568973624.1142187
RELEASE,32,1568973624.2340183
PRESS,82,1568973624.4212823
RELEASE,82,1568973624.5489368
PRESS,69,1568973624.6052446
RELEASE,69,1568973624.7200625
PRESS,65,1568973624.766329
PRESS,68,1568973624.8624597
RELEASE,65,1568973624.915017
RELEASE,68,1568973624.9850996
PRESS,32,1568973625.3192134
RELEASE,32,1568973625.4409096
PRESS,84,1568973625.547284
RELEASE,84,1568973625.673091
PRESS,72,1568973625.6812615
PRESS,69,1568973625.7932692
RELEASE,72,1568973625.8050075
RELEASE,69,1568973625.9069333
PRESS,84,1568973625.9592023
PRESS,89,1568973625.979159
RELEASE,89,1568973626.0450475
RELEASE,84,1568973626.0570455
PRESS,16777219,1568973626.4493055
RELEASE,16777219,1568973626.5630891
PRESS,16777219,1568973626.6131475
RELEASE,16777219,1568973626.706003
PRESS,89,1568973626.8792253
RELEASE,89,1568973626.9670274
PRESS,32,1568973627.0402534
RELEASE,32,1568973627.1890414
PRESS,44,1568973627.7222884
PRESS,77,1568973627.7230535
RELEASE,44,1568973627.766023
RELEASE,77,1568973627.7960687
PRESS,16777219,1568973628.5152113
RELEASE,16777219,1568973628.6050396
PRESS,16777219,1568973628.657229
RELEASE,16777219,1568973628.75609
PRESS,77,1568973628.8862896
RELEASE,77,1568973629.000062
PRESS,85,1568973629.1752303
RELEASE,85,1568973629.2869883
PRESS,83,1568973629.38226
RELEASE,83,1568973629.4880672
PRESS,84,1568973629.6863565
RELEASE,84,1568973629.8150947
PRESS,32,1568973629.8962572
RELEASE,32,1568973630.01409
PRESS,73,1568973630.301263
RELEASE,73,1568973630.4290469
PRESS,84,1568973630.5033185
PRESS,82,1568973630.505208
RELEASE,84,1568973630.6129787
RELEASE,82,1568973630.6229775
PRESS,16777219,1568973631.0183492
RELEASE,16777219,1568973631.1200325
PRESS,32,1568973631.152256
PRESS,79,1568973631.2883027
RELEASE,32,1568973631.3091455
PRESS,70,1568973631.3933232
RELEASE,79,1568973631.3970544
RELEASE,70,1568973631.5320907
PRESS,32,1568973631.5882616
RELEASE,32,1568973631.6989844
PRESS,67,1568973632.1123335
RELEASE,67,1568973632.219101
PRESS,79,1568973632.2654123
RELEASE,79,1568973632.3691626
PRESS,76,1568973632.4352877
PRESS,68,1568973632.559315
RELEASE,76,1568973632.566121
RELEASE,68,1568973632.6930673
PRESS,32,1568973632.785309
RELEASE,32,1568973632.902296
PRESS,84,1568973633.3732748
RELEASE,84,1568973633.4740493
PRESS,72,1568973633.477307
RELEASE,72,1568973633.583141
PRESS,65,1568973633.6131876
RELEASE,65,1568973633.7270627
PRESS,84,1568973633.7352195
RELEASE,84,1568973633.825116
PRESS,46,1568973634.6692705
RELEASE,46,1568973634.7761185
PRESS,32,1568973634.8462865
RELEASE,32,1568973634.9451182
